random_index,source_id,ra,dec,parallax,parallax_over_error,pmdec,pmdec_error,pmra,pmra_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
1633426666,2927206755547005056,101.21937592522966,-20.528063881600833,0.779790292941475,1.4723797,-6.862757528644727,0.4912092,0.20163339282545273,0.32514718,1.1526722,20.007856,20.748652,18.449219,2.2994328
1439560669,2927206927345681024,101.22122292176222,-20.49779989375631,0.7959121303852558,29.8598,2.048757216632209,0.025810493,-3.272019220391596,0.01628386,1.0410529,15.461842,15.854909,14.904863,0.9500456
1384049464,2927225546022197120,101.27013738845059,-20.38593970506912,0.8786863494446141,31.487335,-0.19249206791617007,0.025768854,11.925972792493992,0.017164083,1.007407,15.523882,15.894051,14.926747,0.9673033
1724475169,2927225584678884608,101.28071761985103,-20.39082487592994,0.9245965316066791,3.3104384,1.414512645567361,0.26168692,-6.1862309123222525,0.17234674,1.0771557,19.460442,20.128054,18.500742,1.6273117
332465005,2927225649101415552,101.27196553145204,-20.38107214468552,0.9895170276355941,5.7731395,-1.5715181441058765,0.15326086,-3.1986315446094236,0.10206339,1.044522,18.700354,19.870087,17.640846,2.2292404
52825194,2927225928280902144,101.25160109431475,-20.34861668559336,0.8591127534304799,60.46069,-3.806391997759194,0.012085261,0.7311891740250194,0.008211525,1.0787511,13.709074,13.958849,13.306454,0.65239525
1433587196,2927226336296239616,101.26725771947083,-20.32888815255492,1.3616041946348685,7.5506253,-1.4566700659253269,0.16858913,-4.423183357179101,0.111966245,1.0186509,18.83088,20.133192,17.730322,2.4028702
49592721,2927226370655979008,101.29652969436803,-20.327819357963577,0.8783962025660771,5.193602,0.934097917034964,0.16102216,1.2677718541849934,0.10406224,1.019255,18.76799,19.593382,17.917368,1.676014
1673200179,2927226473735208960,101.29464516836657,-20.313757610216793,0.7510669039264124,6.1665325,7.7186745314733205,0.1130383,-3.9596275260846676,0.07748352,0.913854,18.251614,19.196812,17.302118,1.8946934
488075219,2927244821835118208,101.8104086815213,-20.14161008573,0.8525350232806191,3.5643985,1.0872538476510893,0.20787786,6.688229832437137,0.16796224,1.0120448,19.071924,20.183453,18.08667,2.0967827
1801962151,2927245753846142336,101.91130465283271,-20.138935057445416,0.8830936158192512,1.1916851,4.275131329938742,0.6059498,-3.2319408319129557,0.5585145,1.1036248,20.292225,21.050816,19.075928,1.9748878
941175378,2927220739960483072,101.13421042515682,-20.397665501265237,0.9207728267998838,2.1981416,1.7455853895643512,0.3978783,-1.7381495425555327,0.2617374,1.0414598,20.00617,20.899466,18.981102,1.9183636
1240176871,2927221049198230784,101.0055765555931,-20.485400437461884,1.0895562455664685,9.914854,-8.48850346167571,0.09403894,7.556169845348039,0.06343272,1.0440085,18.085524,,,
